Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,English,Spanish,French
2891,114,knebeln,knebele,,knebelst,,knebelt,knebelte,,geknebelt,,knebelte,,knebele,,,knebelt,,haben,,gag,amordazar,gag
2892,114,entrinnen,entrinne,,entrinnst,,entrinnt,entrann,,entronnen,,entränne,entrönne,entrinn,entrinne,,entrinnt,,sein,,escape,escapar,s'échapper
2893,114,eintauchen,tauche ein,,tauchst ein,,taucht ein,tauchte ein,,eingetaucht,,tauchte ein,,tauch ein,tauche ein,,taucht ein,,haben,sein,immerse yourself,sumergirse,plongez-vous
2894,114,erleuchten,erleuchte,,erleuchtest,,erleuchtet,erleuchtete,,erleuchtet,,erleuchtete,,erleuchte,,,erleuchtet,,haben,,enlighten,iluminar,éclairer
2895,114,aufrechterhalten,erhalte aufrecht,,erhältst aufrecht,,erhält aufrecht,erhielt aufrecht,,aufrechterhalten,,erhielte aufrecht,,erhalte aufrecht,,,erhaltet aufrecht,,haben,,maintained,mantener,entretenu
2896,114,bevölkern,bevölkere,,bevölkerst,,bevölkert,bevölkerte,,bevölkert,,bevölkerte,,bevölkere,,,bevölkert,,haben,,populate,poblar,peupler
2897,114,reinplatzen,platze rein,,platzt rein,,platzt rein,platzte rein,,reingeplatzt,,platzte rein,,platz rein,platze rein,,platzt rein,,sein,,burst in,irrumpir,fait irruption
2886,115,ölen,öle,,ölst,,ölt,ölte,,geölt,,ölte,,öle,,,ölt,,haben,,oil,aceite,huile
2887,115,schwindeln,schwindele,,schwindelst,,schwindelt,schwindelte,,geschwindelt,,schwindelte,,schwindele,,,schwindelt,,haben,,dizzy,mareado,vertigineux
2888,115,sägen,säge,,sägst,,sägt,sägte,,gesägt,,sägte,,säge,,,sägt,,haben,,saw,sierra,scie
2889,115,entweichen,entweiche,,entweichst,,entweicht,entwich,,entwichen,,entwiche,,entweiche,,,entweicht,,sein,,escape,escapar,s'échapper
2890,115,abklären,kläre ab,,klärst ab,,klärt ab,klärte ab,,abgeklärt,,klärte ab,,klär ab,kläre ab,,klärt ab,,haben,,clarify,aclarar,clarifier
2877,116,chillen,chille,,chillst,,chillt,chillte,,gechillt,,chillte,,chill,,,chillt,,haben,,chill,enfriar,froideur
2878,116,generieren,generiere,,generierst,,generiert,generierte,,generiert,,generierte,,generier,generiere,,generiert,,haben,,generate,generar,générer
2879,116,hemmen,hemme,,hemmst,,hemmt,hemmte,,gehemmt,,hemmte,,hemm,hemme,,hemmt,,haben,,inhibit,inhibir,inhiber
2880,116,runterfallen,falle runter,,fällst runter,,fällt runter,fiel runter,,runtergefallen,,fiele runter,,fall runter,falle runter,,fallt runter,,sein,,fall down,caer,tomber
2881,116,wohlwollen,will wohl,,willst wohl,,will wohl,wollte wohl,,wohlgewollt,,wollte wohl,,—,,,—,,haben,,benevolent,benévolo,bienveillant
2882,116,einschreiten,schreite ein,,schreitest ein,,schreitet ein,schritt ein,,eingeschritten,,schritte ein,,schreit ein,schreite ein,,schreitet ein,,sein,,intervene,intervenir,intervenir
2883,116,verrechnen,verrechne,,verrechnest,,verrechnet,verrechnete,,verrechnet,,verrechnete,,verrechne,,,verrechnet,,haben,,calculate,calcular,calculer
2884,116,lotsen,lotse,,lotst,,lotst,lotste,,gelotst,,lotste,,lots,lotse,,lotst,,haben,,pilot,piloto,pilote
2885,116,aufhetzen,hetze auf,,hetzt auf,,hetzt auf,hetzte auf,,aufgehetzt,,hetzte auf,,hetz auf,hetze auf,,hetzt auf,,haben,,incite,incitar,inciter
2875,117,feilschen,feilsche,,feilschst,feilscht,feilscht,feilschte,,gefeilscht,,feilschte,,feilsche,,,feilschet,,haben,,haggle,regatear,marchander
2876,117,wedeln,wedele,wedle,wedelst,,wedelt,wedelte,,gewedelt,,wedelte,,wedele,wedle,,wedelt,,haben,sein,wag,meneo,remuer
2869,118,abblitzen,blitze ab,,blitzt ab,,blitzt ab,blitzte ab,,abgeblitzt,,blitzte ab,,blitze ab,blitz ab,,blitzt ab,,haben,sein,flash off,flash apagado,flash éteint
2870,118,latschen,latsche,,latschst,,latscht,latschte,,gelatscht,,latschte,,latsche,,,latscht,,sein,,traipse,caminar penosamente,se balader
